,sentiment_risk,confidence_risk,volatility_risk,engagement_risk,tenure_risk,overall_risk,cluster
198,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
199,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,2
200,0.0,0.5999999999999999,0.408248290463863,0.0,0,0.20164965809277258,2
201,0.0,0.6,0.5,0.0,0,0.22,6
202,0.0,0.6,0.5,0.0,0,0.22,8
203,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,3
204,0.0,0.19999999999999996,0.0,0.41107184923439344,0,0.10166077738515901,7
205,0.0,0.6,0.35355339059327373,0.0,0,0.19071067811865475,6
206,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
207,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,3
208,0.0,0.5999999999999999,0.408248290463863,0.0,0,0.20164965809277258,4
209,0.0,0.6,0.0,0.0,0,0.12,1
210,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
211,0.0,0.6,0.5,0.0,0,0.22,2
212,0.0,0.6,0.0,0.0,0,0.12,0
213,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,6
214,0.0,0.6,0.0,0.0,0,0.12,8
215,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,3
216,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,4
217,1.0,0.33999999999999997,0.0,0.41107184923439344,0,0.429660777385159,5
218,0.5,0.6,1.0,0.0,0,0.47000000000000003,8
219,0.0,0.6,0.0,0.0,0,0.12,2
220,0.0,0.6,0.40824829046386296,0.0,0,0.20164965809277258,8
221,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,6
222,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
223,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,3
224,0.0,0.6,0.5,0.0,0,0.22,4
225,0.0,0.6,0.0,0.0,0,0.12,1
226,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
227,0.0,0.5999999999999999,0.408248290463863,0.0,0,0.20164965809277258,2
228,0.0,0.6,0.0,0.0,0,0.12,0
229,1.0,0.49,0.0,0.41107184923439344,0,0.45966077738515904,5
230,0.0,0.6,0.0,0.0,0,0.12,8
231,0.0,0.6,0.5,0.0,0,0.22,2
232,0.0,0.6,0.0,0.0,0,0.12,4
233,0.0,0.6,0.0,0.0,0,0.12,6
234,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
235,0.0,0.5,0.5,0.0,0,0.2,3
236,0.0,0.19999999999999996,0.0,0.41107184923439344,0,0.10166077738515901,7
237,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,6
238,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
239,0.0,0.6,0.0,0.0,0,0.12,3
240,0.0,0.6,0.0,0.0,0,0.12,4
241,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,1
242,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
243,0.0,0.6,0.5,0.0,0,0.22,2
244,0.0,0.6,0.0,0.0,0,0.12,0
245,0.0,0.6,0.5,0.0,0,0.22,6
246,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
247,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,3
248,0.0,0.5999999999999999,0.408248290463863,0.0,0,0.20164965809277258,6
249,0.3333333333333333,0.5133333333333334,0.2041241452319315,0.0,0,0.24349149571305295,5
250,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
251,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,2
252,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
253,0.0,0.6,0.0,0.0,0,0.12,6
254,0.0,0.6,0.0,0.0,0,0.12,8
255,0.0,0.6,0.0,0.0,0,0.12,3
256,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,4
257,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,1
258,0.0,0.6,0.0,0.0,0,0.12,8
259,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,2
260,0.0,0.6,0.5,0.0,0,0.22,0
261,0.5,0.5449999999999999,1.0,0.0,0,0.459,5
262,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,8
263,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,2
264,0.0,0.5999999999999999,0.0,0.0,0,0.11999999999999998,2
265,0.0,0.6,0.0,0.0,0,0.12,6
266,0.0,0.6,0.5,0.0,0,0.22,8
267,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,3
268,0.0,0.19999999999999996,0.0,0.41107184923439344,0,0.10166077738515901,7
269,0.0,0.6,0.0,0.0,0,0.12,6
270,0.0,0.5999999999999999,0.408248290463863,0.0,0,0.20164965809277258,8
271,0.0,0.6,0.5,0.0,0,0.22,3
272,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,4
273,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,1
274,0.0,0.6,0.40824829046386296,0.0,0,0.20164965809277258,8
275,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,2
276,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,0
277,0.0,0.6,0.0,0.41107184923439344,0,0.181660777385159,6
